Date,Trees,Diff
2019-10-26,2381.846,0
2019-10-26,2465.338,83492
2019-10-26,2503.766,38428
2019-10-26,2558.605,54839
2019-10-26,2607.934,49329
2019-10-26,2676.964,69030
2019-10-26,2688.987,12023
2019-10-26,2715.053,26066
2019-10-26,2780.604,65551
2019-10-26,2834.535,53931
2019-10-26,2876.816,42281
2019-10-26,2906.562,29746
2019-10-26,3024.183,117621
2019-10-26,3155.654,131471
2019-10-26,3226.251,70597
2019-10-26,3292.401,66150
2019-10-26,3329.205,36804
2019-10-26,3384.858,55653
2019-10-26,3415.256,30398
2019-10-26,3551.239,135983
2019-10-26,3590.565,39326
2019-10-26,3640.77,50205
2019-10-26,3667.321,26551
2019-10-26,3753.889,86568
2019-10-26,3820.146,66257
2019-10-27,3868.149,48003
2019-10-27,3902.153,34004
2019-10-27,3929.964,27811
2019-10-27,3962.942,32978
2019-10-27,3991.806,28864
2019-10-27,4025.393,33587
2019-10-27,4048.243,22850
2019-10-27,4067.558,19315
2019-10-27,4135.528,67970
2019-10-27,4157.912,22384
2019-10-27,4176.582,18670
2019-10-27,4196.229,19647
2019-10-27,4216.955,20726
2019-10-27,4235.454,18499
2019-10-27,4251.449,15995
2019-10-27,4270.585,19136
2019-10-27,4284.602,14017
2019-10-27,4298.706,14104
2019-10-27,4311.831,13125
2019-10-27,4329.619,17788
2019-10-27,4344.407,14788
2019-10-27,4359.323,14916
2019-10-27,4376.6,17277
2019-10-27,4392.283,15683
2019-10-27,4406.549,14266
2019-10-27,4421.368,14819
2019-10-27,4438.385,17017
2019-10-27,4449.901,11516
2019-10-27,4462.271,12370
2019-10-27,4487.762,25491
2019-10-27,4487.762,0
2019-10-27,4487.762,0
2019-10-27,4488.107,345
2019-10-27,4488.107,0
2019-10-27,4488.107,0
2019-10-27,4503.299,15192
2019-10-27,4536.468,33169
2019-10-27,4586.119,49651
2019-10-27,4656.086,69967
2019-10-27,4720.597,64511
2019-10-27,4779.526,58929
2019-10-27,4917.215,137689
2019-10-27,4990.727,73512
2019-10-27,5014.036,23309
2019-10-27,5049.115,35079
2019-10-27,5049.115,0
2019-10-27,5085.268,36153
2019-10-27,5085.268,0
2019-10-27,5085.268,0
2019-10-27,5085.268,0
2019-10-27,5119.049,33781
2019-10-28,5132.237,13188
2019-10-28,5227.789,95552
2019-10-28,5240.056,12267
2019-10-28,5254.933,14877
2019-10-28,5269.684,14751
2019-10-28,5302.261,32577
2019-10-28,5316.677,14416
2019-10-28,5339.065,22388
2019-10-28,5349.453,10388
2019-10-28,5368.418,18965
2019-10-28,5376.864,8446
2019-10-28,5394.887,18023
2019-10-28,5401.593,6706
2019-10-28,5416.584,14991
2019-10-28,5422.88,6296
2019-10-28,5434.138,11258
2019-10-28,5441.798,7660
2019-10-28,5450.997,9199
2019-10-28,5458.941,7944
2019-10-28,5467.828,8887
2019-10-28,5475.66,7832
2019-10-28,5484.423,8763
2019-10-28,5493.569,9146
2019-10-28,5499.958,6389
2019-10-28,5510.578,10620
2019-10-28,5520.739,10161
2019-10-28,5529.637,8898
2019-10-28,5543.144,13507
2019-10-28,5550.892,7748
2019-10-28,5560.653,9761
2019-10-28,5570.118,9465
2019-10-28,5580.085,9967
2019-10-28,5599.986,19901
2019-10-28,5608.111,8125
2019-10-28,5618.086,9975
2019-10-28,5632.141,14055
2019-10-28,5642.14,9999
2019-10-28,5651.818,9678
2019-10-28,5662.834,11016
2019-10-28,5726.624,63790
2019-10-28,5739.85,13226
2019-10-28,5762.901,23051
